lat,lon,fullnamero
-8.312613,160.703216,Sio Point
-8.480507,160.67051,Saua Point
-8.618865,158.094721,Taonaka Island
-8.570791,157.860045,Tambiko Island
-8.667049,158.185762,Tambapeava Island
-8.515961,157.687891,Penguin
-8.515961,157.687891,Tambaka Point
-8.671824,158.175776,Tambereara Island
-8.671824,158.175776,Tambakale Island
-8.671824,158.175776,Tambakambe Island
-8.678305,158.187618,Tamba Island
-8.551891,157.991268,Mount Sumbulu
-8.81511,157.758518,South Island
-8.692671,157.546897,Somerville Point
-8.525514,158.082339,Sokotae Island
-8.724475,158.164001,Sinevolo Island
-8.580065,158.124126,Siara Island
-8.580065,158.124126,Seava Island
-8.587591,158.138798,Sivai
-8.587591,158.138798,Sevae Island
-8.57995,157.880181,Segi Point
-8.57995,157.880181,Seghe Point
-8.618512,158.176895,Sanihulimu Island
-8.618512,158.176895,Sanihulumu Island
-8.763551,157.964477,Sira Point
-8.763551,157.964477,Saira Point
-8.715089,157.897103,Chara Point
-8.643645,158.198089,Chapa Point
-8.738356,158.125665,Chalu Island
-8.711547,158.124251,Chaila Island
-8.600433,157.395308,Blanche Island
-8.600433,157.395308,Arailro Mboromani
-8.600433,157.395308,Araiiro Mboromani
-8.600433,157.395308,Sikuleleki Island
-8.578488,157.358965,Antsovo Point
-8.578488,157.358965,Asovo Point
-8.333994,160.726064,Tolo Matanga Hill
-8.577619,157.196132,Entsovō Point
-8.648976,157.290174,Endotori Point
-8.72792,158.068609,Emma Point
-8.817123,157.808216,East Island
-8.676144,158.178548,Chomborua Island
-8.546418,157.761177,Choki Point
-8.546418,157.761177,Choke Point
-8.764166,157.975927,Cheke Point
-8.586713,157.833602,Uvinggete Island
-8.506894,158.058305,Utuha Island
-8.506894,158.058305,Utaha
-8.592663,157.208881,Undihove Point
-8.677394,158.133231,Tusuvonu Island
-8.571564,157.803074,Tusuroviana Island
-8.751277,158.057491,Chehe Point
-8.524664,158.029573,Inghoho Island
-8.579548,157.840844,Iloro Island
-8.566498,157.849053,Ikele Island
-8.534158,158.008207,Huleo Island
-8.605665,157.229653,Hoverenggō Point
-8.738203,158.101621,Hotuanivena Island
-8.62669,157.879139,Hotopeonggo Point
-8.62669,157.879139,Hortopeongo Point
-8.623339,157.247641,Hiruhove Point
-8.764158,157.795496,Hele Islands
-8.526831,158.023689,Hekolo Island
-8.691662,157.348747,Ghoso Point
-8.313553,160.732189,Tarii Island
-8.311651,160.715652,Taraana Island
-8.586017,157.829786,Tusumoa Island
-8.68517,158.130329,Tusumbuni Island
-8.692316,158.147116,Tusuchou Island
-8.574732,157.855126,Tupaerenge Island
-8.666551,158.189948,Tunggupangga Point
-8.65087,158.200218,Totelavi
-8.65087,158.200218,Toatelave Island
-8.557105,157.876971,Tironusa Point
-8.644077,158.176922,Tingohese Island
-8.671915,158.133869,Tinge Islands
-8.56568,157.834558,Tinavili Island
-8.638804,157.864172,Tinakuri Island
-8.638804,157.864172,Tinakuro Island
-8.736192,157.551405,Tetipari Island
-8.736192,157.551405,Tetipara Island
-8.736192,157.551405,Tetepare Island
-8.736192,157.551405,Montgomery Island
-8.773231,158.126934,Tenggorara Island
-8.702516,158.141182,Tenggomo Island
-8.587812,157.866108,Tekira Island
-8.665833,157.869382,Otana Point
-8.665833,157.869382,Votana Point
-8.590573,158.150605,Worosu
-8.590573,158.150605,Vorusu Island
-8.424702,160.613587,Ngganggalu Point
-8.445534,160.639506,Gamoa Island
-8.445534,160.639506,Nggamua Island
-8.40178,160.585357,Bitama Point
-8.40178,160.585357,Mbita’ama Point
-8.40178,160.585357,Belama Point
-8.40178,160.585357,Maru
-8.703227,158.131009,Saikile Nggete Island
-8.70399,158.134345,Saikile Kiki Island
-8.718349,158.173923,Saikarasa Island
-8.524492,158.013764,Rurukongga Island
-8.668205,157.806846,Runja Island
-8.523033,158.044508,Rugutu Point
-8.523033,158.044508,Rukutu Point
-8.533589,158.021045,Ruramona Island
-8.533589,158.021045,Roromana Island
-8.533589,158.021045,Roromona
-8.572516,157.381912,Riserao Point
-8.534698,157.307044,Rendowa
-8.534698,157.307044,Uweli
-8.534698,157.307044,Rendova Island
-8.534698,157.307044,Rendezvous
-8.534698,157.307044,Uwoli
-8.534698,157.307044,Hammond Island
-8.612354,157.339014,Iropiro Point
-8.612354,157.339014,Irofiro
-8.682212,157.301544,Ira Point
-8.580291,157.382959,Boromani Island
-8.580291,157.382959,Fearo Mboromani
-8.580291,157.382959,Baromani
-8.580291,157.382959,Renard Island
-8.559183,158.064418,Mount Reku
-8.559183,158.064418,Mount Mangota
-8.769639,157.994386,Rekocho Point
-8.720066,157.406567,Rava Point
-8.720066,157.406567,Point Pleasant
-8.720066,157.406567,Point Pleasanti
-8.720066,157.406567,Cape Pleasant
-8.601739,157.827079,Raro Island
-8.586051,157.78418,Rapichana Point
-8.504178,158.157291,Rano Point
-8.745512,158.074536,Tusu Koe
-8.745512,158.074536,Tusu Koe Island
-8.753255,158.12915,Kingguru Island
-8.523997,158.075069,Wat Point
-8.523997,158.075069,Kichombelo Point
-8.789621,158.31986,Kicha Island
-8.789621,158.31986,Kigha Island
-8.554375,157.955133,Ketoketo Island
-8.658179,157.862275,Kembekembe Island
-8.615734,158.067342,Kele Island
-8.760623,158.055609,Wickham Island
-8.760623,158.055609,Mbotuana
-8.558886,157.917727,Kosoko Island
-8.558886,157.917727,Kasopo Island
-8.578031,158.13572,Karutingge Islands
-8.504644,157.948768,Karunohu Island
-8.620905,158.201482,Karunjou Island
-8.643938,158.143459,Karungarao Island
-8.517645,158.141472,Karumaneke Island
-8.517645,158.141472,Karumanaki
-8.700394,158.126128,Karulingge Nggete Island
-8.696522,158.129943,Karulingge Kiki Island
-8.678745,157.842197,Karuhahe Islands
-8.667035,158.115577,Kapatene Island
-8.512208,158.023496,Mararo Island
-8.512208,158.023496,Mahoro Island
-8.512208,158.023496,Maharo Islet
-8.537792,158.004392,Luma Point
-8.634798,157.800529,Hecla Point
-8.634798,157.800529,Loturana Point
-8.800453,157.627168,Livutana Point
-8.552165,158.120808,Lire Island
-8.517026,158.075611,Lilihina
-8.517026,158.075611,Trader
-8.722213,157.443169,Lelei Point
-8.656189,158.094814,Lalauru Point
-8.553521,157.931985,Laghumbelama Point
-8.529098,158.012701,Kurukuru Islands
-8.686756,157.817939,Kuacha Island
-8.70888,158.098429,Kopivonu Island
-8.515625,158.147652,Kopinae Island
-8.554511,157.913975,Kokondovi Island
-8.761466,158.028974,Kokwana
-8.761466,158.028974,Kokoana Island
-8.599035,158.11532,Kokete Point
-8.202858,159.214931,Kiakiva Point
-8.156179,159.17741,Ghahirasokara Point
-8.127688,159.096332,Furona Island
-8.118064,159.09739,Babati Point
-8.205483,159.232179,Babao Point
-8.087814,159.040637,Kobokana Island
-8.087814,159.040637,Holuforu Islet
-8.560571,158.081809,Mbariki Peninsula
-8.560571,158.081809,Mbareke Peninsula
-8.59946,158.131417,Mbareho Island
-8.713471,158.149556,Mbanitambaika Island
-8.568018,157.193625,Mbaniata Point
-8.568018,157.193625,Banyetta Point
-8.568018,157.193625,Hofovō Point
-8.568018,157.193625,Baniata Point
-8.150844,159.171561,Sivoko Point
-8.210299,159.24879,Popongori Island
-8.183057,159.197088,Pauo Point
-8.132123,159.125708,Patualena Island
-8.17841,159.176178,Papaga Islets
-8.17841,159.176178,Papaga Islands
-8.17841,159.176178,Papanga Islands
-8.595977,157.881326,Mbalavaini Point
-8.704784,157.817163,Mbahoro Island
-8.543098,158.00499,Mavara Point
-8.570965,157.838092,Mauru Island
-8.529216,158.143855,Matikuri Island
-8.518252,157.938471,Masi Islands
-8.518252,157.938471,Mase Islands
-8.513379,157.997719,Marovo Island
-8.792318,158.173924,Mount Mariu
-8.660502,157.803063,Marahosa Point
-8.621896,157.824183,Manjaula Island
-8.709705,158.143106,Mane Island
-8.578859,157.825875,Malumalu Island
-8.789513,158.250824,Malemale Island
-8.100494,159.079458,Lupighopa Point
-8.687434,158.215885,Mboli Island
-8.687434,158.215885,Minjanga Island
-8.508202,157.912195,Mindimindi Islands
-8.508202,157.912195,Mindeminde Islands
-8.60824,157.232382,Mihōrenggō Point
-8.773476,157.657975,Cape Rice
-8.773476,157.657975,Memisenggo Point
-8.583187,157.370847,Mbusana Island
-8.568986,157.843812,Mbumburongo Island
-8.568986,157.843812,Mbumburono Island
-8.76759,158.285468,Mbulo Island
-8.51825,157.883873,Mbukombuko Point
-8.706159,157.430458,Mbo Point
-8.706159,157.430458,Bao Point
-8.561747,158.070153,Mbelema Peak
-8.562354,157.841881,Mbatumbosi Island
-8.588874,157.787971,Mbarutu Island
-8.385929,160.612375,Mount Fauiwane
-8.347573,160.716896,Fakka Island
-8.347573,160.716896,Faka Island
-8.333787,160.562862,Umbere Point
-8.333787,160.562862,Cape Astrolabe
-8.495459,160.676784,Arao Point
-8.72258,157.368363,Bluff Point
-8.72258,157.368363,Nggau Point
-8.774606,158.174829,Nggatokae Island
-8.774606,158.174829,Gatukai Island
-8.695364,157.875732,Gatirina Island
-8.695364,157.875732,Nggatirana Island
-8.509743,158.133573,Garamoho
-8.509743,158.133573,Karamaho
