RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,MGRS,JOG,FC,DSG,PC,CC1,ADM1,POP,ELEV,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD,NM_MODIFY_DATE,F_EFCTV_DT,F_TERM_DT
5,-1552301,-2209387,-8.878882,160.012941,8:52:44S,160:00:47E,57LXL1137918386,SC57-03,T,ISL,,BP,0,,,,N,,,,TAUTAUISLAND,Tautau Island,Tautau Island,TAUTAUISLAND,Tautau Island,Tautau Island,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551924,-2208920,-9.893546,167.194526,9:53:37S,167:11:40E,58LGQ4064405565,SC58-08,T,ISL,,BP,0,,,,N,,,,TAHUA,Tahua,Tahua,TAHUA,Tahua,Tahua,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545026,-2206446,-11.709954,166.860594,11:42:36S,166:51:38E,58LGN0278904850,SC58-16,T,PT,,BP,0,,,,V,,,,NOMLAMBIUO,Nomlambiuo,Nomlambiuo,NOMLAMBIUO,Nomlambiuo,Nomlambiuo,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1545026,-2199990,-11.709954,166.860594,11:42:36S,166:51:38E,58LGN0278904850,SC58-16,T,PT,,BP,0,,,,N,,,,POINTBAURE,Point Baure,Point Baure,BAURE POINT,"Baure, Point","Baure, Point",,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545022,-2199973,-9.921741,167.240835,9:55:18S,167:14:27E,58LGQ4570302412,SC58-08,T,ISLS,,BP,0,,,,N,,,,BASSISLANDS,Bass Islands,Bass Islands,BASSISLANDS,Bass Islands,Bass Islands,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545022,-2199971,-9.921741,167.240835,9:55:18S,167:14:27E,58LGQ4570302412,SC58-08,T,ISLS,,BP,0,,,,V,,,,BASSESISLANDS,Basses Islands,Basses Islands,BASSESISLANDS,Basses Islands,Basses Islands,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1545022,-2199970,-9.921741,167.240835,9:55:18S,167:14:27E,58LGQ4570302412,SC58-08,T,ISLS,,BP,0,,,,V,,,,ILEDEBASS,Ile de Bass,Ile de Bass,BASS ILEDE,"Bass, Ile de","Bass, Ile de",,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1545002,-2199915,-10.276225,166.333402,10:16:34S,166:20:00E,58LFP4602263744,SC58-11,T,ISL,,BP,0,,,,N,,,,BANEPI,Banepi,Banepi,BANEPI,Banepi,Banepi,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545002,-2206149,-10.276225,166.333402,10:16:34S,166:20:00E,58LFP4602263744,SC58-11,T,ISL,,BP,0,,,,V,,,,NGALO,Ngalo,Ngalo,NGALO,Ngalo,Ngalo,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1545002,-2199919,-10.276225,166.333402,10:16:34S,166:20:00E,58LFP4602263744,SC58-11,T,ISL,,BP,0,,,,V,,,,BANGANETEPAISLAND,Banga Netepa Island,Banga Netepa Island,BANGANETEPAISLAND,Banga Netepa Island,Banga Netepa Island,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1545002,-2206965,-10.276225,166.333402,10:16:34S,166:20:00E,58LFP4602263744,SC58-11,T,ISL,,BP,0,,,,V,,,,PANAVI,Panavi,Panavi,PANAVI,Panavi,Panavi,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1545002,-2199916,-10.276225,166.333402,10:16:34S,166:20:00E,58LFP4602263744,SC58-11,T,ISL,,BP,0,,,,V,,,,BANGA,Banga,Banga,BANGA,Banga,Banga,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1545614,-2200869,-8.883391,161.063759,8:53:00S,161:03:50E,57LYL2695517408,SC57-04,T,ISL,,BP,0,,,,N,,,,FOUNDAREISLAND,Foundare Island,Foundare Island,FOUNDAREISLAND,Foundare Island,Foundare Island,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545614,-2200868,-8.883391,161.063759,8:53:00S,161:03:50E,57LYL2695517408,SC57-04,T,ISL,,BP,0,,,,V,,,,FOUNDALEISLAND,Foundale Island,Foundale Island,FOUNDALEISLAND,Foundale Island,Foundale Island,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1545611,-2200863,-8.846308,160.991145,8:50:47S,160:59:28E,57LYL1898921554,SC57-04,T,PT,,BP,0,,,,N,,,,FOULALAPOINT,Foulala Point,Foulala Point,FOULALAPOINT,Foulala Point,Foulala Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545953,-2201343,-9.12764,160.288899,9:07:40S,160:17:20E,57LXK4162990784,SC57-07,T,PT,,BP,0,,,,N,,,,HAKAMAPOINT,Hakama Point,Hakama Point,HAKAMAPOINT,Hakama Point,Hakama Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545953,-2202088,-9.12764,160.288899,9:07:40S,160:17:20E,57LXK4162990784,SC57-07,T,PT,,BP,0,,,,V,,,,KAKAMAPOINT,Kakama Point,Kakama Point,KAKAMAPOINT,Kakama Point,Kakama Point,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1545952,-2201342,-8.912331,160.043392,8:54:44S,160:02:36E,57LXL1471714678,SC57-03,T,ISL,,BP,0,,,,N,,,,HAKAMAISLAND,Hakama Island,Hakama Island,HAKAMAISLAND,Hakama Island,Hakama Island,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1547034,-2202682,-9.120893,160.155069,9:07:15S,160:09:18E,57LXK2692491579,SC57-07,T,ISL,,BP,0,,,,N,,,,KOKOMUTAMBU,Kokomu Tambu,Kokomu Tambu,KOKOMUTAMBU,Kokomu Tambu,Kokomu Tambu,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
